"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2019",5,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/06/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/07/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/08/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/09/2019",0,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/10/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/11/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/12/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/13/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/14/2019",5,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/15/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/16/2019",19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/17/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/18/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/19/2019",22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/20/2019",3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/21/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/22/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/23/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/24/2019",3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/25/2019",20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/26/2019",32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/27/2019",58,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/28/2019",55,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/29/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/30/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/31/2019",22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/01/2019",52,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/02/2019",43,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/03/2019",63,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/04/2019",54,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/05/2019",41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/06/2019",38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/07/2019",19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/08/2019",7,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/09/2019",11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/10/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/11/2019",39,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/12/2019",3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/13/2019",0,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/14/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/15/2019",30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/16/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/17/2019",15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/18/2019",8,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/19/2019",28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/20/2019",2,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/21/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/22/2019",1,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/23/2019",1,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/24/2019",0,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/25/2019",4,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/26/2019",34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/27/2019",51,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/28/2019",38,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/01/2019",22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/02/2019",9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/03/2019",25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/04/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/05/2019",12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
