"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2018",12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/05/2018",15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/08/2018",22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/11/2018",3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/14/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/17/2018",19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/20/2018",8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/23/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/26/2018",18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/29/2018",7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/01/2018",24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/04/2018",5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/07/2018",9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/10/2018",14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/13/2018",11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/16/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/19/2018",13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/22/2018",33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/25/2018",17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/28/2018",15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/06/2018",44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/09/2018",18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/12/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/15/2018",30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/18/2018",23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/21/2018",5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/24/2018",21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"03/27/2018",18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
