"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/04/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/05/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/06/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/07/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/08/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/09/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/10/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/11/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/12/2019",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/13/2019",50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/14/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/15/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/16/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/17/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/18/2019",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/19/2019",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/20/2019",58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/21/2019",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/22/2019",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/23/2019",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/24/2019",74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/25/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/26/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/27/2019",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/28/2019",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/29/2019",71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/30/2019",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"03/31/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/01/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/02/2019",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/03/2019",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/04/2019",80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/05/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/06/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/07/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/08/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/09/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/10/2019",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/11/2019",58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/12/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/13/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/14/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/15/2019",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/16/2019",51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/17/2019",71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/18/2019",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/19/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/20/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/21/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/22/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/23/2019",50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/24/2019",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/25/2019",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/26/2019",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/27/2019",58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/28/2019",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/29/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"04/30/2019",58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/01/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/02/2019",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/03/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/04/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/05/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/06/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/07/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/08/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/09/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/10/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/11/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/12/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/13/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/14/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/15/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/16/2019",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/17/2019",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/18/2019",58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/19/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/20/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/21/2019",64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/22/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/23/2019",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/24/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/25/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/26/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/27/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/28/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/29/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/30/2019",50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/31/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/01/2019",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/02/2019",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/03/2019",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/04/2019",67,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/05/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/06/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/07/2019",22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/08/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/09/2019",23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/10/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/11/2019",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/12/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/13/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/14/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/15/2019",50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/16/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/17/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/18/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/19/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/20/2019",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/21/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/22/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/23/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/24/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/25/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/26/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/27/2019",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/28/2019",77,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/29/2019",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/30/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/01/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/02/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/03/2019",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/04/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/05/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/06/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/07/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/08/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/09/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/10/2019",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/11/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/12/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/13/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/14/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/15/2019",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/16/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/17/2019",28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/18/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/19/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/20/2019",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/21/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/22/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/23/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/24/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/25/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/26/2019",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/27/2019",51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/28/2019",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/29/2019",64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/30/2019",58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/31/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/01/2019",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/02/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/03/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/04/2019",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/05/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/06/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/07/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/08/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/09/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/10/2019",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/11/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/12/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/13/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/14/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/15/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/16/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/17/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/18/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/19/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/20/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/21/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/22/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/23/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/24/2019",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/25/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/26/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/27/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/28/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/29/2019",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/30/2019",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/31/2019",64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/01/2019",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/02/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"09/03/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
